Timestep,Asset Price
0,100.0
1,100.11284146862675
2,100.14715448666972
3,100.10982996828352
4,100.18399712193387
5,100.1716768904354
6,100.16260867992467
7,100.12335005066669
8,100.29125327065377
9,100.16620209027984
10,100.31522043063099
11,100.25213175318642
12,100.29489263681718
13,100.2161830322296
14,100.16817777587508
15,100.13557992346114
16,100.13028361294046
17,100.23445690991213
18,100.34846811095082
19,100.23007191550828
20,100.07742778173746
21,99.97440405185867
22,100.0052967520886
23,99.80906968916514
24,100.01356935315641
25,100.02510714980743
26,100.07742532911054
27,100.14370573894612
28,100.16569671391164
29,100.27365733144292
30,100.27579986912997
31,100.22059335359378
32,100.1871965045923
33,99.98099430384745
34,99.95880525986927
35,99.85942071924944
36,99.7422909879673
37,99.80052490666651
38,99.731967146477
39,99.65906933339986
40,99.67114394857741
41,99.72028277043171
42,99.65075133295302
43,99.65950122427303
44,99.5927539374736
45,99.60119974042351
46,99.67250572778745
47,99.63159433058061
48,99.66105964466375
49,99.64804661641817
50,99.71364028851309
51,99.60582883673251
52,99.71708594594803
53,99.81889476474521
54,99.84529968569302
55,99.88802872872336
56,99.90000560976486
57,99.91395524789425
58,99.88750901122205
59,100.0518303486197
60,99.99292490171338
61,99.91704394724655
62,99.80476652924857
63,99.76130440162439
64,99.89251649246728
65,99.8075012149265
66,99.88982821903433
67,100.00294538955804
68,99.95781463037969
69,99.8886251468985
70,99.96483583686492
71,99.95638828658971
72,99.85971041989431
73,99.70248377040743
74,99.80011897375682
75,99.93707039235737
76,99.84594710095612
77,99.7080134160129
78,99.57800695151998
79,99.58076512220683
80,99.63917137431983
81,99.70390416510314
82,99.69322116664438
83,99.70046797485858
84,99.74265916390999
85,99.68398897504889
86,99.69401294657176
87,99.720627044639
88,99.74460645763021
89,99.72177096192272
90,99.63778184606602
91,99.59549764577183
92,99.64905548454308
93,99.49672808498174
94,99.29350877502077
95,99.209125732566
96,99.14025422710326
97,99.21466473026506
98,99.37751917710166
99,99.38300679109705
100,99.45402346462801
101,99.59438197537386
102,99.46968519871427
103,99.41066102838691
104,99.30791545052902
105,99.26538654521832
106,99.17961787127757
107,99.10298834327267
108,99.12079765282678
109,99.31824965313612
110,99.22139642416936
111,99.38446877196222
112,99.28089830058991
113,99.33965382910976
114,99.3479545881515
115,99.13382611195337
116,99.33811634061458
117,99.31284660980057
118,99.43472429000879
119,99.43833882918487
120,99.42058354036371
121,99.44229540585556
122,99.39296312070002
123,99.35099036385739
124,99.34274637559182
125,99.411257680367
126,99.41679566033774
127,99.43275607603137
128,99.47234770595367
129,99.3829474412841
130,99.19425363180099
131,99.0239509368111
132,99.07119285696902
133,99.21296313481905
